,seed,k,err
285,15,6,0.336497677744817
286,15,7,0.2309198350361803
287,15,8,0.2544228761904853
288,15,9,0.1935692969988997
289,15,10,0.17378526537535022
290,15,11,0.24448865786987684
291,15,12,0.15086668054052887
292,15,13,0.12492480272915607
293,15,14,0.13318128038148147
294,15,15,0.13014299179665068
295,15,16,0.10965406647799747
296,15,17,0.09206584135117835
297,15,18,0.05319648121755427
298,15,19,0.092338587755877
299,15,20,0.07614585246448469
300,16,1,0.7728941598258887
301,16,2,0.5954753841801523
302,16,3,0.4744832554265056
303,16,4,0.33649767774482453
304,16,5,0.3364976777447961
305,16,6,0.2309198349320991
306,16,7,0.23091983501789748
307,16,8,0.23091983508909852
308,16,9,0.17378526530715888
309,16,10,0.1538654283915536
310,16,11,0.19356929830138125
311,16,12,0.12512283299610893
312,16,13,0.19356929720703941
313,16,14,0.1704917620090416
314,16,15,0.15086668018766203
315,16,16,0.10718409875626655
316,16,17,0.06606179235374798
317,16,18,0.08707132416607588
318,16,19,0.09843265110382382
319,16,20,0.09249408285762961
320,17,1,0.7728941572551088
321,17,2,0.5954753799879671
322,17,3,0.4569408996954515
323,17,4,0.4744832539558236
324,17,5,0.33649767774481065
325,17,6,0.3364976777457709
326,17,7,0.24448865393544095
327,17,8,0.2309198351416335
328,17,9,0.1935692984418952
329,17,10,0.2039605164666266
330,17,11,0.1737852659818313
331,17,12,0.13273055917885368
332,17,13,0.17378526528612814
333,17,14,0.10736092085192994
334,17,15,0.10736091856112873
335,17,16,0.12479859602643373
336,17,17,0.10736091472003295
337,17,18,0.08804507077035761
338,17,19,0.054761808149696556
339,17,20,0.09652943032857131
340,18,1,0.7728941566703795
341,18,2,0.5954753813008216
342,18,3,0.4569409002749305
343,18,4,0.45694089976507
344,18,5,0.33649767774488215
345,18,6,0.2823672302805589
346,18,7,0.1935692989183032
347,18,8,0.23091983506452296
348,18,9,0.23091983482203848
349,18,10,0.19356929874941242
350,18,11,0.23091983510822245
351,18,12,0.1935692973254861
352,18,13,0.2823672304042417
353,18,14,0.1444018409505875
354,18,15,0.12802674624350996
355,18,16,0.1478996702927371
356,18,17,0.08763638090370074
357,18,18,0.09127476349015895
358,18,19,0.07182101819259523
359,18,20,0.11731080203932087
360,19,1,0.7728941559434854
361,19,2,0.5954753810802369
362,19,3,0.4569408991872206
363,19,4,0.47448325389358403
364,19,5,0.336497677744798
365,19,6,0.28236723086513027
366,19,7,0.23091983503488134
367,19,8,0.230919834733591
368,19,9,0.2544228486170712
369,19,10,0.1704918270788558
370,19,11,0.12492480440566511
371,19,12,0.14191052773553048
372,19,13,0.12556669980125612
373,19,14,0.15592608546481368
374,19,15,0.1071841001828222
375,19,16,0.14812276114136524
376,19,17,0.09206592408119685
377,19,18,0.13519651800752708
378,19,19,0.06100315469987461
379,19,20,0.0905287470071604
380,20,1,0.7728941555170351
381,20,2,0.5954753848819647
382,20,3,0.4569408985717406
383,20,4,0.4744832528073637
384,20,5,0.3364976777448061
385,20,6,0.3364976777458667
386,20,7,0.2831954929474312
387,20,8,0.23091983484052359
388,20,9,0.19356929838510772
389,20,10,0.23092054318040456
390,20,11,0.24448851983950948
391,20,12,0.14812275608176717
392,20,13,0.1737852656510862
393,20,14,0.09208375886721376
394,20,15,0.13318128000274343
395,20,16,0.1737852664081202
396,20,17,0.20398356652440652
397,20,18,0.04993522703358655
398,20,19,0.07984974650642562
399,20,20,0.11716160007852139
